date,signal-date,symbol,industry,direction,kk,sl,tp,risk,entry,exit,status,r,duration,r_sum
2024-03-18,15.03.2024,mtz,,LONG,85.4,82.48,90.99,2.9,85.4,90.99,TP,1.9,3.0,-2.6
2024-03-18,15.03.2024,mu,,LONG,94.79,91.52,101.05,3.3,96.82,91.52,SL,-1.6,1.0,-4.3
2024-03-18,15.03.2024,owl,,LONG,17.53,17.24,18.05,0.3,17.53,18.05,TP,1.8,3.0,-2.5
2024-03-18,15.03.2024,rgnx,,LONG,22.86,20.86,26.8,2.0,,,,,,
2024-03-18,15.03.2024,tgt,,LONG,165.41,160.35,175.04,5.1,165.41,168.63,TE,0.6,5.0,-1.8
2024-03-18,15.03.2024,tmo,,LONG,585.22,576.05,601.84,9.2,585.86,583.09,TE,-0.3,5.0,-2.1
2024-03-19,18.03.2024,pltr,,LONG,24.2,23.0,26.54,1.2,,,,,,
2024-03-19,18.03.2024,net,,LONG,95.83,91.93,103.35,3.9,,,,,,
2024-03-19,18.03.2024,hpe,,LONG,17.21,16.38,18.81,0.8,,,,,,
2024-03-19,18.03.2024,ttd,,LONG,79.1,77.1,82.85,2.0,79.1,82.85,TP,1.9,1.0,-0.3
2024-03-20,19.03.2024,net,,LONG,95.63,92.04,102.54,3.6,95.63,99.07,TE,1.0,5.0,0.7
2024-03-20,19.03.2024,okta,,LONG,105.87,102.92,111.48,3.0,105.87,104.43,TE,-0.5,5.0,0.2
2024-03-20,19.03.2024,mu,,LONG,94.25,90.83,100.82,3.4,94.99,100.82,TP,1.7,1.0,1.9
2024-03-20,19.03.2024,sndx,,LONG,22.48,21.32,24.75,1.2,22.48,21.44,TE,-0.9,5.0,1.0
2024-03-20,19.03.2024,kkr,,LONG,96.65,94.72,100.25,1.9,96.65,100.25,TP,1.9,1.0,2.9
2024-03-20,19.03.2024,kbr,,LONG,60.69,59.77,62.36,0.9,60.69,61.43,TE,0.8,5.0,3.7
2024-03-20,19.03.2024,pltr,,LONG,23.85,22.64,26.21,1.2,23.85,24.89,TE,0.9,5.0,4.6
2024-03-20,19.03.2024,iova,,LONG,14.29,13.36,16.09,0.9,14.29,14.05,TE,-0.3,5.0,4.3
2024-03-20,19.03.2024,fwonk,,LONG,68.81,67.23,71.76,1.6,68.81,67.23,SL,-1.0,1.0,3.3
2024-03-20,19.03.2024,fnd,,LONG,120.57,116.79,127.78,3.8,120.57,127.78,TP,1.9,1.0,5.2
2024-03-20,19.03.2024,cien,,LONG,50.27,47.98,54.7,2.3,50.27,49.52,TE,-0.3,5.0,4.9
2024-03-20,19.03.2024,cflt,,LONG,31.59,30.49,33.7,1.1,31.59,31.0,TE,-0.5,5.0,4.3
2024-03-20,19.03.2024,cccs,,LONG,11.96,11.66,12.5,0.3,11.96,11.94,TE,-0.1,5.0,4.3
