date,signal-date,symbol,industry,direction,kk,sl,tp,risk,entry,exit,status,duration,r,r_sum
2024-02-05,2024-02-02,acad,Biotechnology,LONG,25.81,24.8,27.74,1.0,,,,,,
2024-02-05,2024-02-02,acmr,Semiconductor Equipment & Materials,LONG,16.89,15.83,18.96,1.1,,,,,,
2024-02-06,2024-02-05,cenx,Aluminum,LONG,10.7,10.06,11.92,0.6,,,,,,
2024-02-06,2024-02-05,bku,Banks - Regional,LONG,26.19,24.82,28.84,1.4,26.19,24.82,SL,1.0,-1.0,4.5
2024-02-07,2024-02-06,vno,REIT—Office,LONG,25.9,24.86,27.91,1.0,,,,,,
2024-02-07,2024-02-06,slg,REIT—Office,LONG,44.03,42.09,47.79,1.9,,,,,,
2024-02-08,2024-02-07,amsc,Specialty Industrial Machinery,LONG,10.73,9.59,12.96,1.1,10.73,12.96,TP,2.0,2.0,6.5
2024-02-08,2024-02-07,banc,Banks - Regional,LONG,13.04,12.32,14.42,0.7,,,,,,
2024-02-08,2024-02-07,cuk,Leisure,LONG,14.64,14.05,15.75,0.6,,,,,,
2024-02-08,2024-02-07,cenx,Aluminum,LONG,10.63,10.08,11.67,0.6,10.63,10.08,SL,3.0,-1.0,5.5
2024-02-08,2024-02-07,slg,REIT—Office,LONG,43.17,41.28,46.82,1.9,43.17,43.24,TE,5.0,0.0,5.5
2024-02-09,2024-02-08,fybr,Telecom Services,LONG,23.61,22.82,25.12,0.8,,,,,,
2024-02-12,2024-02-09,cuk,Leisure,LONG,14.34,13.76,15.44,0.6,,,,,,
2024-02-12,2024-02-09,cort,Biotechnology,SHORT,22.54,23.33,21.01,0.8,,,,,,
2024-02-12,2024-02-09,ccl,Travel Services,LONG,15.76,15.1,17.02,0.7,,,,,,
2024-02-12,2024-02-09,cenx,Aluminum,LONG,10.67,10.15,11.66,0.5,10.67,10.15,SL,1.0,-1.0,4.5
2024-02-13,2024-02-12,cort,Biotechnology,SHORT,23.01,23.85,21.39,0.8,23.01,23.85,SL,1.0,-1.0,3.5
