date,signal-date,symbol,industry,direction,kk,sl,tp,risk,entry,exit,status,duration,r,r_sum
2024-05-22,2024-05-21,w,Internet Retail,LONG,66.88,63.53,73.41,3.3,,,,,,
2024-05-23,2024-05-22,www,Footwear & Accessories,LONG,13.36,12.94,14.13,0.4,,,,,,
2024-05-23,2024-05-22,w,Internet Retail,LONG,65.31,62.0,71.75,3.3,,,,,,
2024-05-24,2024-05-23,w,Internet Retail,LONG,62.88,59.84,68.78,3.0,62.88,59.84,SL,1.0,-1.0,16.2
2024-05-24,2024-05-23,lmnd,Insurance—Property & Casualty,LONG,16.74,15.65,18.86,1.1,,,,,,
2024-05-24,2024-05-23,www,Footwear & Accessories,LONG,13.13,12.75,13.83,0.4,13.13,13.83,TP,1.0,1.8,18.0
2024-05-24,2024-05-23,tds,Telecom Services,LONG,19.49,18.59,21.23,0.9,,,,,,
2024-05-27,2024-05-24,bros,Restaurants,LONG,34.78,33.57,37.11,1.2,34.78,35.07,TE,5.0,0.2,18.3
2024-05-27,2024-05-24,snap,Internet Content & Information,LONG,15.51,15.0,16.48,0.5,,,,,,
2024-05-27,2024-05-24,cvna,Auto & Truck Dealerships,LONG,112.9,107.78,122.82,5.1,,,,,,
2024-05-27,2024-05-24,oscr,Healthcare Plans,LONG,21.19,20.27,22.97,0.9,,,,,,
2024-05-27,2024-05-24,crnx,Biotechnology,LONG,49.51,47.49,53.4,2.0,,,,,,
2024-05-27,2024-05-24,tost,Software—Infrastructure,LONG,25.86,25.04,27.41,0.8,25.86,25.04,SL,1.0,-1.0,17.3
2024-05-28,2024-05-24,crnx,Biotechnology,LONG,49.51,47.49,53.4,2.0,,,,,,
2024-05-28,2024-05-24,bros,Restaurants,LONG,34.78,33.57,37.11,1.2,34.78,35.07,TE,5.0,0.2,17.5
2024-05-28,2024-05-24,snap,Internet Content & Information,LONG,15.51,15.0,16.48,0.5,,,,,,
2024-05-28,2024-05-24,cvna,Auto & Truck Dealerships,LONG,112.9,107.78,122.82,5.1,,,,,,
2024-05-28,2024-05-24,oscr,Healthcare Plans,LONG,21.19,20.27,22.97,0.9,,,,,,
2024-05-28,2024-05-24,tost,Software—Infrastructure,LONG,25.86,25.04,27.41,0.8,25.86,25.04,SL,1.0,-1.0,16.5
2024-05-29,2024-05-28,cvna,Auto & Truck Dealerships,LONG,111.11,105.87,121.29,5.2,,,,,,
2024-05-29,2024-05-28,iot,Software—Infrastructure,LONG,39.42,38.02,42.1,1.4,,,,,,
2024-05-30,2024-05-29,sg,Restaurants,LONG,30.66,28.82,34.25,1.8,,,,,,
2024-05-30,2024-05-29,crbg,Asset Management,LONG,29.75,28.54,32.08,1.2,29.75,29.54,TE,5.0,-0.2,16.3
2024-05-30,2024-05-29,ptct,Biotechnology,LONG,36.52,34.46,40.56,2.1,36.52,38.0,TE,5.0,0.7,17.1
2024-06-03,2024-05-31,cvna,Auto & Truck Dealerships,LONG,103.4,98.4,113.09,5.0,103.4,98.4,SL,0.0,-1.0,16.1
2024-06-03,2024-05-31,vsat,Communication Equipment,SHORT,16.15,17.35,13.81,1.2,,,,,,
2024-06-04,2024-06-03,rblx,Electronic Gaming & Multimedia,SHORT,33.85,34.81,32.03,1.0,,,,,,
2024-06-04,2024-06-03,kss,Department Stores,SHORT,22.93,24.5,19.85,1.6,22.93,22.99,TE,5.0,-0.0,16.0
2024-06-07,2024-06-06,vfc,Apparel Manufacturing,SHORT,13.35,14.1,11.91,0.8,,,,,,
2024-06-10,2024-06-07,be,Electrical Equipment & Parts,LONG,15.13,14.06,17.22,1.1,15.13,14.06,SL,4.0,-1.0,15.0
2024-06-10,2024-06-07,aa,Aluminum,LONG,41.91,40.33,44.95,1.6,,,,,,
2024-06-10,2024-06-07,gps,Apparel Retail,LONG,26.12,24.54,29.19,1.6,26.12,24.54,SL,4.0,-1.0,14.0
2024-06-11,2024-06-10,fl,Apparel Retail,LONG,25.57,23.99,28.66,1.6,,,,,,
2024-06-12,2024-06-11,janx,Biotechnology,LONG,43.2,40.18,49.12,3.0,43.64,40.18,SL,3.0,-1.1,12.9
2024-06-13,2024-06-12,aa,Aluminum,LONG,42.29,40.67,45.42,1.6,,,,,,
2024-06-14,2024-06-13,vir,Biotechnology,LONG,10.46,9.6,12.11,0.9,,,,,,
2024-06-14,2024-06-13,tds,Telecom Services,LONG,20.52,19.36,22.79,1.2,,,,,,
2024-06-14,2024-06-13,aa,Aluminum,LONG,39.89,38.36,42.84,1.5,,,,,,
2024-06-14,2024-06-13,tndm,Medical Devices,LONG,47.52,45.29,51.83,2.2,,,,,,
2024-06-18,2024-06-17,be,Electrical Equipment & Parts,LONG,14.27,13.37,16.01,0.9,,,,,,
2024-06-18,2024-06-17,flnc,Utilities—Renewable,LONG,20.88,19.23,24.12,1.6,,,,,,
2024-06-18,2024-06-17,enph,Solar,LONG,124.32,117.86,136.87,6.5,,,,,,
2024-06-18,2024-06-17,tdw,Oil & Gas Equipment & Services,LONG,97.94,93.21,107.09,4.7,97.94,,-,3.0,-0.8,12.1
2024-06-18,2024-06-17,aa,Aluminum,LONG,37.77,36.33,40.54,1.4,37.77,,-,3.0,1.8,13.9
2024-06-18,2024-06-17,tndm,Medical Devices,LONG,44.96,42.9,48.97,2.1,,,,,,
2024-06-18,2024-06-17,fslr,Solar,LONG,274.33,259.1,304.03,15.2,,,,,,
2024-06-18,2024-06-17,sg,Restaurants,LONG,31.89,29.55,36.49,2.3,31.89,,-,3.0,-1.2,12.7
2024-06-18,2024-06-17,tds,Telecom Services,LONG,19.62,18.68,21.44,0.9,,,,,,
2024-06-19,2024-06-18,mrna,Biotechnology,LONG,137.4,131.36,149.1,6.0,,,,,,
2024-06-19,2024-06-18,be,Electrical Equipment & Parts,LONG,14.04,13.2,15.66,0.8,14.04,,-,2.0,-1.5,11.3
2024-06-20,2024-06-18,mrna,Biotechnology,LONG,137.4,131.36,149.1,6.0,,,,,,
2024-06-20,2024-06-18,be,Electrical Equipment & Parts,LONG,14.04,13.2,15.66,0.8,14.04,,-,2.0,-1.5,9.8
2024-06-21,2024-06-20,hood,Capital Markets,LONG,22.09,21.04,24.12,1.1,22.09,,-,1.0,0.2,10.0
2024-06-21,2024-06-20,tdw,Oil & Gas Equipment & Services,LONG,98.86,94.2,107.91,4.7,,,,,,
2024-06-21,2024-06-20,tds,Telecom Services,LONG,19.33,18.45,21.02,0.9,,,,,,
