direction,symbol,signal-date,kk,sl,tp,qty,distance_tp_atr,sma_200,adx_day,adx_week,up_volume,down_volume,industry
SHORT,asan,2024-08-19,13.21,13.69,12.31,208,2.0,1.22,26,26,1793720,1937060,Software—Application
SHORT,pcor,2024-08-19,57.63,59.59,53.89,51,2.6,1.13,34,23,2000460,5653040,Software—Application
SHORT,hgv,2024-08-19,36.66,38.26,33.59,62,2.0,1.1,34,28,891660,1660880,Resorts & Casinos
SHORT,vyx,2024-08-19,12.84,13.51,11.56,149,2.8,1.07,25,22,1930320,5003840,Information Technology Services
SHORT,flnc,2024-08-19,17.06,18.11,15.01,95,2.8,1.05,23,18,1563180,1993160,Utilities—Renewable
SHORT,amd,2024-08-19,147.57,153.18,136.79,17,3.1,1.01,27,20,42623600,72245540,Semiconductors
