direction,symbol,signal-date,kk,sl,tp,distance_tp_atr,sma_200,adx_day,adx_week,up_volume,down_volume,industry
LONG,cohr,2024-03-14,61.55,58.76,66.94,2.1,43.09,29.887517678190047,40.83081526068012,2483040.0,2003020.0,Scientific & Technical Instruments
LONG,cldx,2024-03-14,45.09,42.53,50.09,2.0,33.63,24.3397453425624,44.099592041834356,1803720.0,894940.0,Biotechnology
SHORT,cc,2024-03-14,26.19,27.45,23.75,4.8,30.48,24.398847525597617,27.278493084169597,1681060.0,7591920.0,Specialty Chemicals
LONG,eypt,2024-03-14,22.51,20.86,25.75,2.4,14.21,23.22585585367779,53.30993480305963,1098240.0,957420.0,Biotechnology
LONG,pltr,2024-03-14,24.99,23.73,27.45,1.8,17.66,32.06251160303456,36.07050709646419,99612800.0,65785800.0,Software - Infrastructure
LONG,rgnx,2024-03-14,22.53,20.25,27.03,2.5,17.83,42.88609273203188,26.94625561772215,1392640.0,1255640.0,Biotechnology
LONG,spr,2024-03-14,31.69,29.92,35.13,2.4,25.85,20.37446481408476,22.51875054861909,4542160.0,3981380.0,Aerospace & Defense
LONG,viav,2024-03-14,10.17,9.77,10.91,2.8,9.62,17.876572562285183,22.821101176090163,3252700.0,2579220.0,Communication Equipment
