direction,symbol,signal-date,kk,sl,tp,distance_tp_atr,sma_200,adx_day,adx_week,up_volume,down_volume,industry
LONG,mdb,2024-02-20,460.21,439.18,500.98,2.2,376.12,29.02364198533611,25.273521387483367,1444680.0,1201080.0,Software - Infrastructure
LONG,path,2024-02-20,24.62,23.29,27.23,2.2,18.65,15.18984805746329,39.16431917459851,14536440.0,9548260.0,Software - Infrastructure
LONG,rblx,2024-02-20,43.01,40.99,46.93,1.9,37.07,18.630481349120632,29.11517487985479,17046280.0,9149760.0,Electronic Gaming & Multimedia
