direction,symbol,signal-date,kk,sl,tp,distance_tp_atr,sma_200,adx_day,adx_week,up_volume,down_volume,industry
LONG,app,2024-02-01,42.02,40.04,45.87,2.3,33.68,21.46612457114931,39.088599211320734,4436560.0,3727540.0,Software - Application
LONG,dei,2024-02-01,13.58,13.05,14.59,2.7,12.94,21.46741691982576,27.58333885609782,2709400.0,1983480.0,REIT - Office
LONG,imvt,2024-02-01,36.54,35.23,39.04,2.7,28.18,13.329885179499511,45.415254495472546,1721600.0,1203320.0,Biotechnology
LONG,rmbs,2024-02-01,69.37,66.67,74.56,2.3,59.64,25.164008991036212,21.4085250675957,1527500.0,1292760.0,Semiconductors
