direction,symbol,signal-date,kk,sl,tp,distance_tp_atr,sma_200,adx_day,adx_week,up_volume,down_volume,industry
LONG,cohr,2024-03-15,59.87,57.33,64.78,2.8,43.19,27.824839669820822,40.65831576476642,2483040.0,2157180.0,Scientific & Technical Instruments
LONG,cldx,2024-03-15,43.25,41.02,47.58,3.1,33.68,23.047471769436466,43.26042993560193,1803720.0,1210140.0,Biotechnology
SHORT,cc,2024-03-15,26.49,27.7,24.16,4.4,30.48,23.15331220118705,29.77628625128139,1722480.0,7591920.0,Specialty Chemicals
LONG,iova,2024-03-15,14.41,13.37,16.42,2.9,7.5,31.446345123924306,55.28207858352714,10982660.0,9355040.0,Biotechnology
LONG,net,2024-03-15,93.77,89.91,101.22,2.5,72.78,26.91559448459081,39.80837503644073,3975820.0,2983680.0,Software - Infrastructure
LONG,pltr,2024-03-15,24.12,22.87,26.57,2.5,17.7,30.020566243707684,38.62005426458516,99612800.0,61246040.0,Software - Infrastructure
LONG,pstg,2024-03-15,51.15,48.88,55.55,3.0,37.92,30.39159725972234,35.20107866585461,7654180.0,5465240.0,Computer Hardware
LONG,ttd,2024-03-15,78.13,76.17,81.81,2.7,76.24,27.96070587212223,24.086395019745563,4448860.0,3752500.0,Software—Application
LONG,viav,2024-03-15,10.01,9.62,10.73,3.2,9.62,16.66427568326203,24.48658847336428,3252700.0,2584480.0,Communication Equipment
