direction,symbol,signal-date,kk,sl,tp,distance_tp_atr,sma_200,adx_day,adx_week,up_volume,down_volume,industry
LONG,cenx,2024-01-19,10.39,9.8,11.5,3.5,8.36,38.85741578850043,36.06739360077833,2031880.0,1218940.0,Aluminum
LONG,dyn,2024-01-19,16.35,15.08,18.83,2.3,11.16,37.54336562459156,39.60107156250557,9680760.0,1672940.0,Biotechnology
LONG,rna,2024-01-19,10.56,9.86,11.89,1.8,9.32,38.014595891764834,37.07252768921039,1510360.0,805420.0,Biotechnology
LONG,rxrx,2024-01-19,10.01,8.88,12.2,3.4,8.24,38.984712382569164,31.777879451373316,8737020.0,6162220.0,Biotechnology
LONG,sndx,2024-01-19,21.4,20.62,22.91,2.0,18.57,51.19567813087203,32.63665566664098,1302880.0,910360.0,Biotechnology
