direction,symbol,signal-date,kk,sl,tp,distance_tp_atr,adx_day,adx_week,up_volume,down_volume,ema_reversal
SHORT,ba,25.03.2024,189.31,194.28,179.94,2.3,31,28,9963040,11214580,0
SHORT,bdx,25.03.2024,240.31,244.28,233.1,2.0,14,15,1098960,1513360,0
SHORT,bwa,25.03.2024,32.98,33.61,31.8,2.1,17,32,3435560,3638520,0
SHORT,cwan,25.03.2024,17.0,17.43,16.19,2.0,26,25,1763260,2437980,1
LONG,mo,25.03.2024,43.61,42.86,44.99,1.8,32,18,27682440,15688980,0
LONG,tmus,25.03.2024,161.53,159.62,164.86,1.8,15,54,5460620,5032980,0
