direction,symbol,signal-date,kk,sl,tp,distance_tp_atr,sma_200,adx_day,adx_week,up_volume,down_volume,industry
LONG,cohr,2024-04-19,51.05,49.29,54.42,3.1,0.91,31,31,1969100,1895800,Scientific & Technical Instruments
LONG,dkng,2024-04-19,42.51,40.78,45.85,1.8,0.87,20,36,11004240,9994920,Gambling
LONG,tndm,2024-04-19,31.42,29.88,34.41,2.3,0.84,21,33,1205680,1055180,Medical Devices
LONG,arhs,2024-04-19,14.23,13.65,15.33,3.0,0.81,28,43,1277520,1034100,Home Improvement Retail
LONG,lyft,2024-04-19,16.83,15.95,18.54,2.9,0.81,22,45,12024060,11027300,Software—Application
LONG,gps,2024-04-19,21.08,20.23,22.72,2.9,0.79,41,42,9191320,7418140,Apparel Retail
LONG,wdc,2024-04-19,68.48,65.71,73.81,1.9,0.76,44,39,8473440,5599300,Computer Hardware
LONG,mu,2024-04-19,110.99,105.79,121.07,2.9,0.75,41,37,32106380,25324540,Semiconductors
LONG,hood,2024-04-19,17.25,16.39,18.9,2.0,0.73,24,48,16839980,10250460,Capital Markets
LONG,iova,2024-04-19,11.71,11.05,12.97,2.2,0.72,27,48,5532340,4777080,Biotechnology
LONG,app,2024-04-19,69.25,66.05,75.44,2.8,0.67,27,59,3945140,3125400,Software—Application
LONG,mgnx,2024-04-19,16.35,15.43,18.13,2.8,0.61,25,68,2751240,821760,Biotechnology
SHORT,para,2024-04-19,11.65,12.28,10.45,2.3,1.08,19,16,22155000,24619540,Entertainment
