direction,symbol,signal-date,kk,sl,tp,distance_tp_atr,sma_200,adx_day,adx_week,up_volume,down_volume,industry
LONG,amd,2024-03-13,199.02,189.15,218.2,2.6,128.83,36.3842127481095,55.416780886063,81276280.0,73816840.0,Semiconductors
LONG,apls,2024-03-13,59.6,56.5,65.62,1.9,56.8,15.687960515136538,17.06146412636513,1671480.0,1141120.0,Biotechnology
LONG,cldx,2024-03-13,47.55,44.86,52.77,1.9,33.57,25.73142457515956,44.099592041834356,1803720.0,1051040.0,Biotechnology
LONG,eypt,2024-03-13,23.12,21.47,26.36,2.6,14.13,22.251602301019986,53.30993480305963,1098240.0,983320.0,Biotechnology
LONG,mod,2024-03-13,85.58,81.44,93.62,2.3,50.71,29.79040710665885,59.5715051993474,1271380.0,1142040.0,Auto Parts
LONG,spr,2024-03-13,32.38,30.6,35.86,2.0,25.83,21.819338086868974,22.51875054861909,4542160.0,3745300.0,Aerospace & Defense
