direction,symbol,signal-date,kk,sl,tp,distance_tp_atr,sma_200,adx_day,adx_week,up_volume,down_volume,industry
LONG,bowl,2024-02-23,12.57,11.9,13.85,2.5,11.55,19.004136813933894,24.001092580671717,2561320.0,891220.0,Leisure
LONG,path,2024-02-23,23.89,22.56,26.48,1.9,18.8,13.82474517497565,38.521997893710356,10206720.0,9959360.0,Software - Infrastructure
LONG,riot,2024-02-23,15.33,13.91,18.12,1.9,12.65,28.46491522388551,26.162686492736263,32408700.0,18294240.0,Capital Markets
LONG,wal,2024-02-23,59.08,56.82,63.41,1.9,48.92,25.39921664967573,21.345663537074643,1334500.0,1149660.0,Banks—Regional
LONG,zion,2024-02-23,39.76,38.55,42.06,1.9,35.18,19.52791552211164,24.52746817888184,2437080.0,2237740.0,Banks—Regional
