direction,symbol,signal-date,kk,sl,tp,qty,distance_tp_atr,sma_200,adx_day,adx_week,up_volume,down_volume,industry
LONG,iot,2024-10-02,46.44,45.03,49.11,70,2.4,0.8,20,29,4419540,2782040,Software—Infrastructure
LONG,smtc,2024-10-02,43.35,41.28,47.38,48,2.8,0.75,27,33,2595420,1788400,Semiconductors
