direction,symbol,signal-date,kk,sl,tp,distance_tp_atr,adx_day,adx_week,up_volume,down_volume
SHORT,ba,21.03.2024,187.36,192.46,177.72,1.8,35,27,8318600,11214580
SHORT,cwan,21.03.2024,16.98,17.41,16.17,2.0,27,23,1763260,2365820
SHORT,czr,21.03.2024,41.52,42.78,39.13,1.8,16,27,2215400,3366480
SHORT,kdp,21.03.2024,29.51,29.95,28.73,2.0,29,25,11220800,15491000
LONG,lsxmk,21.03.2024,29.15,28.59,30.18,2.8,15,22,2786540,1919940
