direction,symbol,signal-date,kk,sl,tp,distance_tp_atr,sma_200,adx_day,adx_week,up_volume,down_volume,industry
LONG,fl,2024-01-04,28.92,27.81,31.05,2.4,27.42,26.9958526236472,38.31035809610472,3307040.0,3256780.0,Apparel Retail
LONG,hasi,2024-01-04,26.34,25.46,28.02,2.6,24.14,34.18982439915533,24.695145098392924,1877000.0,934800.0,REIT - Specialty
LONG,rmbs,2024-01-04,64.18,61.77,68.82,2.7,57.62,20.33659566447163,23.055313327725866,5369760.0,1298560.0,Semiconductors
LONG,upwk,2024-01-04,14.09,13.54,15.13,2.4,11.49,26.70719134532085,29.889288242338775,2148820.0,1400480.0,Staffing & Employment Services
LONG,vsco,2024-01-04,25.02,23.78,27.43,2.9,22.28,30.289344149607913,31.959745503360534,2058640.0,2024240.0,Apparel Retail
