direction,symbol,signal-date,kk,sl,tp,distance_tp_atr,sma_200,adx_day,adx_week,up_volume,down_volume,industry
LONG,cvna,2024-01-02,51.67,47.34,60.19,2.3,30.34,39.679126364817925,36.7717643992047,11751300.0,10778400.0,Auto & Truck Dealerships
LONG,pltr,2024-01-02,16.97,16.47,17.9,1.8,14.68,12.689919438394494,29.37026470755551,59166020.0,37191020.0,Software - Infrastructure
LONG,rivn,2024-01-02,21.96,20.85,24.12,2.2,18.47,31.317479416691164,25.000082721815758,39197560.0,29584700.0,Auto Manufacturers
LONG,upst,2024-01-02,40.86,37.6,47.26,2.5,30.35,37.44743277525499,23.412075757168274,12271960.0,10159260.0,Credit Services
LONG,w,2024-01-02,61.62,58.64,67.39,2.5,53.53,30.67128115182493,26.176318757303054,5043320.0,2686420.0,Internet Retail
