direction,symbol,signal-date,kk,sl,tp,distance_tp_atr,sma_200,adx_day,adx_week,up_volume,down_volume,industry
SHORT,cxm,2024-01-09,12.07,12.44,11.39,1.9,13.54,26.64644756732616,27.595220757509765,2246460.0,4425080.0,Software - Application
LONG,srrk,2024-01-09,17.11,15.88,19.52,3.0,9.11,28.856204468087935,50.86509918481739,1039560.0,965980.0,Biotechnology
