direction,symbol,signal-date,kk,sl,tp,distance_tp_atr,sma_200,adx_day,adx_week,up_volume,down_volume,industry
LONG,cvna,2024-01-18,43.21,40.79,47.94,2.2,32.38,22.405867170445394,35.243535946560634,6001420.0,5003940.0,Auto & Truck Dealerships
LONG,cenx,2024-01-18,10.69,10.08,11.84,2.9,8.36,40.24690141387045,37.189108630385796,2031880.0,1217100.0,Aluminum
LONG,hood,2024-01-18,10.84,10.35,11.76,3.4,10.21,25.235140709928647,29.735942691448013,11486740.0,11200440.0,Capital Markets
LONG,roku,2024-01-18,85.34,82.01,91.76,2.7,74.84,18.255197250200187,29.65105158807226,5723500.0,5025420.0,Entertainment
