direction,symbol,signal-date,kk,sl,tp,qty,distance_tp_atr,sma_200,adx_day,adx_week,up_volume,down_volume,industry
SHORT,vyx,2024-08-16,12.69,13.43,11.27,135,2.3,1.09,25,21,2060900,5003840,Information Technology Services
SHORT,amd,2024-08-16,145.05,151.54,132.53,15,2.4,1.05,28,21,38420420,72245540,Semiconductors
