direction,symbol,signal-date,kk,sl,tp,distance_tp_atr,sma_200,adx_day,adx_week,up_volume,down_volume,industry
LONG,afrm,2024-02-21,37.3,34.06,43.65,3.6,25.14,16.047555423933286,39.85099114686073,14805760.0,10679600.0,Software - Infrastructure
LONG,kalv,2024-02-21,13.91,12.79,16.09,2.5,10.39,32.1310004941886,47.5647003277159,1979960.0,1825200.0,Biotechnology
LONG,mdb,2024-02-21,438.15,417.18,478.82,3.1,377.07,27.356154022451427,25.273521387483367,1444680.0,1127680.0,Software - Infrastructure
LONG,path,2024-02-21,23.38,22.0,26.08,3.0,18.7,15.034975555341587,39.16431917459851,14536440.0,9959360.0,Software - Infrastructure
