direction,symbol,signal-date,kk,sl,tp,distance_tp_atr,sma_200,adx_day,adx_week,up_volume,down_volume,industry
LONG,amsc,2024-02-07,10.73,9.59,12.96,2.9,7.92,21.40515901801751,45.510378601339674,3860220.0,2395460.0,Specialty Industrial Machinery
LONG,banc,2024-02-07,13.04,12.32,14.42,2.7,12.35,19.065731920652595,15.108933867674116,4343700.0,3509960.0,Banks - Regional
LONG,cuk,2024-02-07,14.64,14.05,15.75,1.8,13.46,15.332750622982052,26.95865646370224,2718060.0,1998940.0,Leisure
LONG,cenx,2024-02-07,10.63,10.08,11.67,2.5,8.46,30.984695227421454,36.165928376407244,1511320.0,1213540.0,Aluminum
LONG,slg,2024-02-07,43.17,41.28,46.82,2.5,34.61,24.385258902114195,32.56272196911765,1777840.0,1632220.0,REIT—Office
