direction,symbol,signal-date,kk,sl,tp,distance_tp_atr,sma_200,adx_day,adx_week,up_volume,down_volume,industry
LONG,ccl,2024-02-09,15.76,15.1,17.02,2.1,14.98,18.67490637142029,24.323666919248037,39828460.0,30710020.0,Travel Services
LONG,cuk,2024-02-09,14.34,13.76,15.44,2.3,13.52,17.1016521816318,24.76104183023182,2718060.0,1888140.0,Leisure
SHORT,cort,2024-02-09,22.54,23.33,21.01,2.0,26.4,34.36771204194113,25.089133219009614,1129780.0,2010820.0,Biotechnology
LONG,cenx,2024-02-09,10.67,10.15,11.66,2.0,8.48,27.053065505778598,35.414471854892255,1474680.0,1204540.0,Aluminum
