direction,symbol,signal-date,kk,sl,tp,qty,distance_tp_atr,sma_200,adx_day,adx_week,up_volume,down_volume,industry
LONG,cvna,2024-05-31,103.4,98.4,113.09,20,2.8,0.59,28,49,5364020,3101160,Auto & Truck Dealerships
SHORT,vsat,2024-05-31,16.15,17.35,13.81,83,1.8,1.22,30,23,1813440,2888420,Communication Equipment
