direction,symbol,signal-date,kk,sl,tp,distance_tp_atr,sma_200,adx_day,adx_week,up_volume,down_volume,industry
LONG,ahco,2024-03-18,10.38,9.93,11.22,2.2,9.51,43.63569051771143,34.755019568081806,1504880.0,884960.0,Medical Devices
LONG,cldx,2024-03-18,42.44,40.41,46.38,3.3,33.73,22.14606444267687,43.26042993560193,1803720.0,1308980.0,Biotechnology
SHORT,cc,2024-03-18,27.01,28.19,24.74,1.9,30.48,21.691659237662872,29.77628625128139,1740660.0,7591920.0,Specialty Chemicals
SHORT,dv,2024-03-18,32.67,33.83,30.45,2.8,34.45,37.16729468863851,32.42045470606701,2377540.0,4621980.0,Software - Application
