direction,symbol,signal-date,kk,sl,tp,distance_tp_atr,adx_day,adx_week,up_volume,down_volume,ema_reversal
SHORT,bdx,26.03.2024,240.35,244.32,233.14,2.0,14,15,1098960,1445180,1
SHORT,bg,26.03.2024,98.83,100.64,95.51,2.6,27,36,1401200,1728380,0
SHORT,dan,26.03.2024,12.22,12.56,11.59,2.1,14,26,1862420,2181780,0
SHORT,dvax,26.03.2024,12.33,12.66,11.74,2.1,22,26,1588900,3279800,0
SHORT,flnc,26.03.2024,15.73,16.49,14.27,3.3,29,22,1751860,1884140,0
SHORT,tsla,26.03.2024,177.2,184.35,163.43,2.1,24,30,91306220,97663080,0
LONG,urbn,26.03.2024,42.64,41.46,44.89,2.4,13,21,1680540,1262040,0
SHORT,whr,26.03.2024,112.09,114.87,106.85,2.6,21,12,1043920,3828140,0
