direction,symbol,signal-date,kk,sl,tp,distance_tp_atr,adx_day,adx_week,up_volume,down_volume
LONG,cldx,20.03.2024,42.37,40.39,46.2,2.8,20,41,1607920,1365100
LONG,rvmd,20.03.2024,31.29,29.95,33.89,2.3,25,30,2532680,2134740
