direction,symbol,signal-date,kk,sl,tp,distance_tp_atr,sma_200,adx_day,adx_week,up_volume,down_volume,industry
LONG,iot,2024-04-09,34.23,32.98,36.63,3.3,0.88,20,47,4380600,2055820,Software—Infrastructure
LONG,ges,2024-04-09,30.81,29.6,33.14,2.1,0.77,36,42,2006260,1480820,Apparel Retail
LONG,gps,2024-04-09,23.8,23.01,25.33,4.7,0.69,41,47,9876240,7549100,Apparel Retail
LONG,anf,2024-04-09,120.66,115.1,131.41,2.2,0.66,18,76,1538920,1421700,Apparel Retail
LONG,hood,2024-04-09,18.77,17.97,20.32,2.1,0.65,28,50,17166180,11920000,Capital Markets
SHORT,chwy,2024-04-09,16.91,17.54,15.71,2.4,1.28,22,26,9205820,12174960,Internet Retail
