direction,symbol,signal-date,kk,sl,tp,qty,distance_tp_atr,sma_200,adx_day,adx_week,up_volume,down_volume,industry
LONG,vktx,2024-09-26,64.05,60.25,71.48,26,2.0,0.86,20,27,4283500,2882140,Biotechnology
LONG,oscr,2024-09-26,21.91,20.97,23.73,106,1.9,0.79,33,21,2870500,2676400,Healthcare Plans
