direction,symbol,signal-date,kk,sl,tp,qty,distance_tp_atr,sma_200,adx_day,adx_week,up_volume,down_volume,industry
LONG,w,2024-05-22,65.31,62.0,71.75,30,3.0,0.93,30,18,5343160,3216620,Internet Retail
LONG,www,2024-05-22,13.36,12.94,14.13,238,2.5,0.7,46,28,1810860,711940,Footwear & Accessories
