direction,symbol,signal-date,kk,sl,tp,distance_tp_atr,sma_200,adx_day,adx_week,up_volume,down_volume,industry
LONG,dkng,2024-04-22,41.54,39.91,44.69,2.4,0.87,22,34,11004240,10296800,Gambling
LONG,au,2024-04-22,22.45,21.37,24.55,2.6,0.86,37,24,3401520,3218040,Gold
LONG,iova,2024-04-22,11.66,11.01,12.9,2.3,0.72,29,45,5532340,3981020,Biotechnology
