direction,symbol,signal-date,kk,sl,tp,qty,distance_tp_atr,sma_200,adx_day,adx_week,up_volume,down_volume,industry
LONG,dell,2024-07-16,137.86,132.52,148.15,18,2.2,0.76,22,59,10509880,8259280,Computer Hardware
SHORT,apls,2024-07-16,40.08,41.66,37.04,63,2.9,1.27,25,42,1339840,2027680,Biotechnology
