direction,symbol,signal-date,kk,sl,tp,distance_tp_atr,sma_200,adx_day,adx_week,up_volume,down_volume,industry
LONG,afrm,2024-02-22,38.82,35.59,45.15,2.4,25.27,15.809348262682485,39.85099114686073,14805760.0,10679600.0,Software - Infrastructure
LONG,bowl,2024-02-22,12.97,12.24,14.37,3.2,11.56,19.92122643100423,23.892293275702198,2561320.0,911520.0,Leisure
LONG,kalv,2024-02-22,13.18,12.06,15.36,3.0,10.41,30.30095154687538,47.5647003277159,1979960.0,1945680.0,Biotechnology
LONG,path,2024-02-22,23.98,22.56,26.75,2.5,18.75,14.407448691448138,39.16431917459851,13261620.0,9959360.0,Software - Infrastructure
