direction,symbol,signal-date,kk,sl,tp,distance_tp_atr,sma_200,adx_day,adx_week,up_volume,down_volume,industry
LONG,bros,2024-04-02,32.59,31.35,34.99,2.7,28.42,33.533758030532766,21.026608328281927,2224920.0,1832040.0,Restaurants
LONG,hims,2024-04-02,15.36,14.63,16.76,2.3,8.74,45.09367110352623,60.471481020959544,5406800.0,4161320.0,Household & Personal Products
LONG,lyft,2024-04-02,18.84,17.93,20.6,2.0,12.6,39.85941767576538,43.385209002649795,16707580.0,13080380.0,Software - Application
LONG,rkt,2024-04-02,13.7,13.05,14.94,1.9,10.62,29.82159448416603,23.00339205891628,3057000.0,2365740.0,Mortgage Finance
